,age,income,children,gender_FEMALE,gender_MALE,region_INNER_CITY,region_RURAL,region_SUBURBAN,region_TOWN,married_NO,married_YES,car_NO,car_YES,savings_acct_NO,savings_acct_YES,current_acct_NO,current_acct_YES,mortgage_NO,mortgage_YES,pep_NO,pep_YES
0,0.61,0.22,0.33,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,0,1
1,0.45,0.43,1.00,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
2,0.67,0.20,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
3,0.10,0.26,1.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,1,0
4,0.80,0.78,0.00,1,0,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0
5,0.80,0.57,0.67,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
6,0.08,0.07,0.00,0,1,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
7,0.82,0.34,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
8,0.39,0.35,0.67,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,0
9,0.73,0.33,0.67,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
10,0.98,0.94,0.00,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
11,0.69,0.37,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
12,0.53,0.18,0.33,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0,1
13,0.98,0.86,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
14,0.37,0.25,0.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
15,0.41,0.30,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
16,0.39,0.22,0.67,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,1,0
17,0.57,0.62,0.00,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0
18,0.90,0.38,0.00,1,0,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
19,0.27,0.30,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
20,0.88,0.91,0.67,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,0,1
21,0.65,0.20,0.67,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,1,0
22,0.73,0.58,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
23,0.18,0.18,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
24,0.08,0.13,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,0
25,0.78,0.62,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
26,0.55,0.27,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
27,0.43,0.26,0.33,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
28,0.43,0.42,1.00,1,0,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0
29,0.88,0.33,0.33,0,1,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
30,0.88,0.31,0.67,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
31,0.04,0.19,0.67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
32,0.55,0.32,0.33,0,1,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
33,0.31,0.43,1.00,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0
34,0.51,0.56,0.00,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
35,0.18,0.26,0.67,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
36,0.02,0.10,1.00,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
37,0.37,0.14,0.00,1,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1
38,0.51,0.23,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
39,0.98,0.35,0.67,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0,1,0
40,0.76,0.37,0.00,0,1,0,0,0,1,0,1,1,0,1,0,0,1,0,1,0,1
41,0.59,0.38,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
42,1.00,0.87,0.67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,0,1
43,0.29,0.39,0.00,1,0,0,0,0,1,0,1,0,1,1,0,0,1,0,1,1,0
44,0.04,0.15,0.67,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
45,0.94,0.82,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
46,0.65,0.14,0.33,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
47,0.22,0.14,0.67,0,1,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,1
48,0.69,0.59,0.67,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
49,0.59,0.22,0.67,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
50,0.12,0.16,0.67,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0,1,0
51,0.37,0.32,0.00,0,1,0,0,0,1,0,1,1,0,1,0,1,0,1,0,1,0
52,0.51,0.19,0.33,0,1,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
53,0.61,0.43,0.33,0,1,0,0,1,0,1,0,1,0,0,1,0,1,1,0,0,1
54,0.92,0.89,0.00,0,1,0,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0
55,0.69,0.74,1.00,1,0,0,1,0,0,1,0,1,0,0,1,1,0,1,0,0,1
56,0.82,0.34,0.00,1,0,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
57,0.20,0.31,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
58,0.22,0.17,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
59,0.33,0.35,0.33,0,1,1,0,0,0,1,0,0,1,0,1,0,1,0,1,0,1
60,0.49,0.34,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
61,0.96,0.54,0.33,1,0,1,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1
62,0.59,0.38,0.67,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
63,0.04,0.12,0.00,0,1,1,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0
64,0.06,0.00,0.00,0,1,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
65,0.49,0.21,0.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
66,0.02,0.10,0.67,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
67,0.47,0.51,0.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
68,0.24,0.25,0.67,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,1,0
69,0.27,0.09,0.67,1,0,0,1,0,0,0,1,1,0,1,0,0,1,1,0,0,1
70,0.14,0.16,1.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
71,0.06,0.05,0.00,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,0,1
72,0.37,0.46,1.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
73,0.82,0.31,0.67,1,0,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0
74,0.94,0.82,0.67,1,0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,1
75,0.84,0.53,0.67,1,0,0,1,0,0,1,0,0,1,1,0,1,0,1,0,0,1
76,0.55,0.38,0.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
77,0.88,0.76,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
78,0.24,0.17,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
79,0.82,0.51,0.67,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1
80,0.65,0.29,1.00,1,0,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
81,0.24,0.39,1.00,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
82,0.22,0.13,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
83,0.35,0.20,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
84,0.90,0.33,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,1,0,1
85,0.37,0.46,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
86,0.14,0.18,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
87,0.98,0.30,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0
88,0.24,0.19,0.00,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0
89,0.73,0.45,0.67,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
90,0.39,0.34,0.33,0,1,0,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1
91,0.20,0.35,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0
92,0.71,0.51,0.00,1,0,0,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1
93,0.88,0.65,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
94,0.88,0.62,0.00,1,0,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
95,0.00,0.09,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
96,0.08,0.05,0.33,0,1,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0
97,0.33,0.44,0.67,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
98,0.35,0.12,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
99,0.00,0.18,0.00,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,0,1,0
100,0.73,0.37,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
101,0.18,0.11,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
102,0.49,0.18,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
103,0.51,0.48,0.00,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
104,0.94,0.51,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
105,0.51,0.47,1.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
106,0.63,0.72,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
107,0.10,0.14,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
108,0.10,0.13,0.00,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
109,0.24,0.33,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
110,0.37,0.56,0.67,0,1,0,0,0,1,1,0,1,0,0,1,0,1,1,0,0,1
111,0.33,0.35,1.00,0,1,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0
112,0.67,0.55,0.00,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0
113,0.37,0.49,0.67,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0,0,1
114,0.78,0.66,0.33,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
115,0.73,0.74,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
116,0.78,0.29,0.67,1,0,0,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0
117,0.16,0.09,1.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0
118,0.43,0.21,0.00,0,1,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1
119,0.94,0.70,1.00,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
120,0.57,0.42,0.67,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,1,1,0
121,0.90,0.86,0.33,1,0,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
122,0.37,0.27,0.33,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
123,0.35,0.48,0.33,1,0,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
124,0.59,0.69,1.00,0,1,0,1,0,0,1,0,0,1,0,1,1,0,1,0,0,1
125,0.59,0.58,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
126,0.39,0.35,0.00,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
127,0.61,0.65,0.00,1,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
128,0.47,0.16,1.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
129,0.18,0.28,0.00,1,0,0,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1
130,0.51,0.31,0.67,0,1,1,0,0,0,1,0,1,0,1,0,0,1,1,0,1,0
131,0.88,0.63,1.00,0,1,0,1,0,0,0,1,1,0,0,1,0,1,0,1,1,0
132,0.69,0.20,0.67,1,0,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,0
133,0.94,0.54,0.00,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0
134,0.98,0.94,0.67,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1
135,0.71,0.45,0.33,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0,0,1
136,0.04,0.16,0.67,1,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
137,0.80,0.59,0.00,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
138,0.96,0.64,0.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,1,0
139,0.94,0.86,0.33,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
140,0.69,0.55,1.00,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,1,0
141,0.59,0.31,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
142,0.20,0.21,0.33,1,0,0,0,0,1,0,1,0,1,1,0,1,0,0,1,1,0
143,0.94,0.76,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0
144,0.14,0.24,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,1
145,0.82,0.79,0.00,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,1,0,1
146,0.33,0.26,0.67,0,1,0,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0
147,0.04,0.24,0.67,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0
148,0.92,0.36,0.00,0,1,0,1,0,0,0,1,0,1,0,1,1,0,1,0,1,0
149,0.24,0.40,1.00,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0
150,0.71,0.40,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
151,0.51,0.54,0.67,0,1,0,0,0,1,1,0,0,1,1,0,0,1,1,0,0,1
152,0.92,0.85,0.67,0,1,0,0,0,1,0,1,1,0,0,1,1,0,0,1,0,1
153,0.31,0.34,0.33,0,1,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
154,0.47,0.32,0.67,0,1,0,1,0,0,1,0,0,1,1,0,1,0,1,0,1,0
155,0.04,0.05,0.67,1,0,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1
156,0.65,0.37,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
157,0.12,0.27,0.67,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,1,0
158,0.86,0.28,0.00,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
159,0.53,0.18,0.33,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
160,0.10,0.24,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
161,0.45,0.14,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
162,0.63,0.27,1.00,1,0,0,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0
163,0.06,0.04,0.33,1,0,0,0,0,1,1,0,0,1,1,0,0,1,1,0,1,0
164,0.45,0.34,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0
165,0.16,0.33,0.33,0,1,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1
166,0.04,0.08,0.33,0,1,0,0,0,1,1,0,1,0,0,1,0,1,0,1,1,0
167,0.12,0.06,0.33,0,1,1,0,0,0,1,0,1,0,1,0,1,0,0,1,1,0
168,0.39,0.37,0.00,1,0,0,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0
169,0.78,0.50,0.00,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
170,0.69,0.76,0.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
171,0.08,0.25,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
172,0.35,0.33,1.00,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,1,0
173,0.33,0.38,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,1,0,0,1
174,1.00,0.63,0.67,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1
175,0.82,0.88,0.00,1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,0,0,1
176,0.45,0.56,0.00,0,1,0,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0
177,0.47,0.43,0.00,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,0,1
178,0.51,0.18,0.00,0,1,1,0,0,0,0,1,1,0,1,0,1,0,1,0,0,1
179,0.92,0.53,0.67,0,1,1,0,0,0,0,1,1,0,1,0,0,1,1,0,0,1
180,0.08,0.22,0.33,1,0,1,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1
181,0.86,0.89,0.00,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,1
182,0.96,0.56,0.00,1,0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0
183,0.61,0.23,0.67,1,0,1,0,0,0,0,1,0,1,0,1,0,1,0,1,1,0
184,0.41,0.42,0.00,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,1,0
185,0.63,0.48,0.33,0,1,0,1,0,0,0,1,0,1,0,1,0,1,0,1,0,1
186,0.04,0.23,0.00,1,0,1,0,0,0,0,1,1,0,1,0,1,0,0,1,0,1
187,0.61,0.51,0.33,1,0,0,0,0,1,0,1,1,0,1,0,0,1,1,0,0,1
188,0.41,0.51,0.67,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,1,0
189,0.47,0.29,0.00,1,0,1,0,0,0,0,1,1,0,1,0,0,1,1,0,1,0
190,1.00,1.00,0.67,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1
191,0.43,0.17,0.33,0,1,1,0,0,0,0,1,0,1,0,1,1,0,1,0,1,0
192,0.94,0.76,1.00,1,0,0,1,0,0,0,1,1,0,0,1,0,1,1,0,0,1
193,0.47,0.19,0.00,0,1,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1
194,0.76,0.54,0.67,0,1,0,0,1,0,0,1,0,1,1,0,0,1,1,0,0,1
195,0.69,0.22,0.33,0,1,1,0,0,0,0,1,1,0,0,1,1,0,0,1,0,1
196,0.24,0.24,0.00,1,0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,1
197,0.69,0.75,0.67,0,1,1,0,0,0,0,1,0,1,0,1,0,1,1,0,0,1
